,Genre,count
1312, australian indigenous,2
1313, folk punk,3
1314, orgcore,1
1315, instrumental rock,5
1316,classic j-rock,1
1317, shibuya-kei,1
1318,polka,1
1319,sydney indie,1
1320,classic nz pop,1
1321,gospel singers,1
1322, vintage gospel,1
1323, french jazz,1
1324, french soundtrack,1
1325, deep new americana,1
1326, manitoba indie,1
1327,swedish pop,2
1328,new french touch,1
1329,healing,1
1330,catstep,1
1331, chillstep,1
1332, deep dubstep,1
1333,albuquerque indie,1
1334, indorock,1
1335, pittsburgh rock,1
1336,desi pop,4
1337, punjabi pop,4
1338, barbershop,1
1339,american post-rock,1
1340,chicago indie,1
1341,acoustic punk,1
1342, texas punk,1
1343,canadian ccm,2
1344,psychobilly,1
1345, jazz violin,1
1346,light music,2
1347,belgian pop,2
1348, classic belgian pop,3
1349,canadian celtic,5
1350, celtic,5
1351, irish folk,4
1352, irish pub song,4
1353, romanian rock,1
1354,british choir,2
1355, alternative r&b,1
1356,nu-metalcore,1
1357,vintage french electronic,1
1358,grime,1
1359, uk alternative hip hop,1
1360, uk hip hop,1
1361, jazz vibraphone,2
1362,uk alternative hip hop,1
1363,chamber orchestra,2
1364, classical organ,2
1365,anti-folk,2
1366, modern ska punk,2
1367, finnish edm,1
1368, mariachi,1
1369,melodic hardcore,1
1370,fake,3
1371,english indie rock,1
1372,new americana,2
1373, shiver pop,1
1374,talent show,1
1375,deep smooth jazz,1
1376, jazz clarinet,2
1377,retro soul,1
1378,new orleans funk,1
1379, second line,2
1380, jamgrass,1
